688,5
675,13
674,14
673,19
672,22
671,24
670,27
669,28
668,31
667,39
666,44
665,59
664,66
663,73
662,82
661,89
660,93
659,103
658,107
657,116
656,128
655,144
654,151
653,162
652,178
651,191
650,210
649,221
648,236
647,255
646,276
645,291
644,309
643,332
642,347
641,365
640,384
639,403
638,423
637,444
636,469
635,509
634,530
633,559
632,593
631,626
630,659
629,690
628,720
627,759
626,792
625,821
624,863
623,900
622,939
621,985
620,1037
619,1086
618,1139
617,1188
616,1255
615,1317
614,1382
613,1440
612,1503
611,1570
610,1635
609,1693
608,1758
607,1835
606,1916
605,1986
604,2042
603,2127
602,2210
601,2313
600,2407
599,2490
598,2588
597,2688
596,2793
595,2889
594,3003
593,3128
592,3224
591,3316
590,3421
589,3558
588,3679
587,3803
586,3906
585,4056
584,4188
583,4337
582,4461
581,4615
580,4773
579,4902
578,5071
577,5227
576,5408
575,5548
574,5724
573,5895
572,6103
571,6290
570,6474
569,6661
568,6836
567,7020
566,7210
565,7429
564,7652
563,7861
562,8070
561,8319
560,8526
559,8772
558,8975
557,9237
556,9476
555,9733
554,9966
553,10238
552,10477
551,10755
550,11009
549,11281
548,11560
547,11858
546,12138
545,12424
544,12715
543,13022
542,13327
541,13630
540,13918
539,14237
538,14525
537,14863
536,15149
535,15458
534,15781
533,16126
532,16479
531,16803
530,17105
529,17449
528,17770
527,18108
526,18430
525,18800
524,19172
523,19467
522,19790
521,20105
520,20446
519,20764
518,21103
517,21411
516,21755
515,22086
514,22453
513,22790
512,23145
511,23513
510,23874
509,24215
508,24567
507,24910
506,25247
505,25608
504,25975
503,26342
502,26658
501,27025
500,27357
499,27713
498,28069
497,28431
496,28801
495,29172
494,29512
493,29862
492,30236
491,30579
490,30925
489,31293
488,31629
487,31972
486,32300
485,32623
484,32958
483,33311
482,33644
481,34016
480,34372
479,34688
478,35023
477,35351
476,35722
475,36046
474,36412
473,36764
472,37123
471,37506
470,37810
469,38157
468,38520
467,38868
466,39191
465,39547
464,39912
463,40268
462,40599
461,40933
460,41301
459,41635
458,41981
457,42315
456,42633
455,43015
454,43340
453,43696
452,44055
451,44398
450,44777
449,45143
448,45486
447,45838
446,46187
445,46563
444,46886
443,47218
442,47564
441,47949
440,48290
439,48665
438,49022
437,49413
436,49772
435,50139
434,50519
433,50885
432,51228
431,51590
430,51944
429,52302
428,52698
427,53042
426,53389
425,53750
424,54093
423,54493
422,54845
421,55233
420,55613
419,55995
418,56396
417,56803
416,57161
415,57535
414,57932
413,58342
412,58740
411,59127
410,59536
409,59911
408,60304
407,60687
406,61097
405,61493
404,61859
403,62257
402,62652
401,63039
400,63466
399,63872
398,64297
397,64722
396,65112
395,65531
394,65933
393,66378
392,66800
391,67222
390,67651
389,68077
388,68471
387,68888
386,69325
385,69773
384,70212
383,70607
382,71056
381,71508
380,71936
379,72396
378,72864
377,73319
376,73754
375,74219
374,74660
373,75123
372,75559
371,76020
370,76491
369,76951
368,77411
367,77855
366,78313
365,78757
364,79215
363,79617
362,80072
361,80526
360,81009
359,81488
358,81919
357,82364
356,82825
355,83238
354,83662
353,84108
352,84546
351,84960
350,85393
